index,label
10008,0
10011,0
10012,1
10023,0
10029,0
10036,0
10043,0
10050,0
10051,0
10060,0
10075,0
10088,0
10089,0
10090,0
10094,0
10105,0
10109,0
10112,0
10115,0
10120,0
10121,0
10141,0
10143,0
10149,0
10154,0
10158,0
10179,0
10188,0
10190,0
10199,0
10203,0
10206,0
10227,0
10238,0
10241,0
10249,1
10252,0
10278,0
10279,0
10293,0
10295,0
10296,0
10298,0
10299,0
10307,0
10310,0
10317,0
10324,0
10325,0
10338,0
10346,0
10348,0
10356,0
10359,0
10361,0
10372,0
10377,0
10386,0
10396,0
10403,0
10413,0
10414,1
10416,0
10427,0
10436,0
10444,0
10449,0
10479,0
10481,0
10484,0
10489,0
10492,0
10501,0
10514,0
10521,0
10526,0
10530,0
10531,0
10548,0
10550,0
10554,0
10565,0
10574,0
10580,0
10588,0
10593,0
10615,0
10617,0
10623,0
10632,0
10633,0
10643,0
10655,0
10659,0
10675,0
10678,0
10691,0
10711,0
10718,0
10733,1
10737,0
10739,0
10750,0
10755,0
10761,1
10762,0
10768,0
10772,0
10776,0
10778,0
10779,0
10782,0
10786,0
10789,0
10793,0
10803,0
10805,0
10826,0
10827,0
10835,0
10841,0
10842,0
10846,0
10849,0
10851,0
10861,0
10862,0
10864,0
10866,0
10878,0
10882,0
10889,0
10898,0
10903,1
10905,0
10907,0
10915,0
10918,0
10927,0
10931,0
10932,0
10940,0
10948,0
10949,0
10954,0
10957,0
10958,0
10967,0
10969,0
10974,0
10980,0
10981,0
10995,0
10997,0
11002,0
11025,0
11030,0
11045,1
11055,0
11072,0
11076,1
11093,0
11097,0
11098,0
11106,0
11120,0
11132,0
11136,0
11151,0
11155,1
11157,0
11159,0
11162,0
11167,0
11169,0
11171,0
11195,0
11199,0
11202,0
11204,0
11205,0
11208,0
11233,0
11242,0
11256,0
11262,0
11266,0
11275,0
11282,0
11283,0
11295,0
11310,0
11319,0
11328,0
11329,0
11338,1
11352,0
11362,0
11364,0
11367,0
11368,0
11371,0
11389,0
11397,0
11401,0
11404,0
11408,1
11422,0
11428,0
11440,0
11447,0
11449,0
11451,0
11458,0
11462,0
11467,0
11468,0
11469,0
11496,0
11504,0
11507,0
11518,0
11535,0
11537,0
11548,0
11577,0
11582,0
11585,0
11590,0
11594,0
11597,1
11601,1
11603,0
11610,0
11612,1
11615,0
11616,0
11619,0
11620,0
11624,1
11626,0
11631,0
11639,0
11643,0
11660,0
11674,0
11676,0
11680,0
11691,0
11692,0
11718,0
11723,0
11725,1
11727,1
11728,0
11741,0
11742,0
11743,0
11744,1
11748,0
11756,0
11775,0
11810,1
11823,0
11830,0
11855,0
11865,0
11875,0
11882,0
11898,0
11904,0
11912,0
11914,0
11928,1
11931,0
11933,0
11935,0
11937,0
11940,0
11944,1
11948,0
11950,0
11955,0
11961,0
11965,0
11971,1
11977,0
11980,0
11988,0
12007,0
12013,0
12019,0
12022,0
12031,0
12035,1
12038,0
12050,0
12051,0
12058,0
12067,0
12070,0
12081,0
12088,0
12091,0
12092,0
12093,0
12097,1
12117,0
12124,0
12125,0
12130,0
12134,0
12151,0
12154,0
12156,0
12160,0
12162,0
12165,0
12168,0
12192,0
12201,0
12202,0
12208,0
12211,0
12212,0
12213,0
12217,0
12218,0
12219,0
12225,0
12233,1
12241,0
12259,0
12260,0
12265,0
12266,0
12276,0
12279,0
12282,0
12283,0
12299,0
12300,0
12301,0
12302,0
12315,0
12319,0
12336,0
12339,0
12349,0
12361,0
12363,0
12368,0
12375,0
12382,1
12385,0
12386,0
12398,1
12399,0
12408,0
12410,1
12411,0
12412,0
12432,0
12433,0
12434,0
12449,0
12461,0
12463,0
